org,repo,age_days,issues,prs_merged,releases,last_update_days
facebook,react,4386,1058,11767,104,0
facebook,react-native,3791,965,909,392,0
facebook,create-react-app,3237,2316,1949,83,0
facebook,docusaurus,2898,361,5433,150,0
facebook,rocksdb,4562,1192,607,204,0
facebook,folly,4743,380,13,242,0
facebook,zstd,3777,198,2446,68,0
facebook,flow,3864,681,160,405,0
facebook,lexical,1636,505,3787,67,0
facebook,prophet,3115,443,321,18,0
microsoft,vscode,3554,10401,33968,166,0
microsoft,PowerToys,2218,6651,5352,114,0
microsoft,TypeScript,3998,6067,14592,209,0
microsoft,terminal,2846,1664,4100,132,0
microsoft,Web-Dev-For-Beginners,1660,147,499,0,0
microsoft,generative-ai-for-beginners,708,7,356,0,0
microsoft,playwright,2020,825,14596,144,0
microsoft,ML-For-Beginners,1547,11,371,0,0
microsoft,markitdown,195,264,143,13,0
microsoft,autogen,649,569,2385,89,0
google,material-design-icons,3884,356,48,16,0
google,guava,4016,713,918,56,0
google,zx,1484,15,454,85,0
google,styleguide,3660,165,192,0,0
google,leveldb,3926,358,64,21,0
google,googletest,3592,422,811,11,0
google,material-design-lite,3786,424,655,14,2
google,comprehensive-rust,889,134,2104,0,0
google,python-fire,3017,160,125,11,0
google,flatbuffers,4026,175,1913,42,0
